No,Tutupan Lahan,Curah Hujan,Kerapatan Sungai,Jarak dari Sungai,Ketinggian Lahan,Kemiringan Lereng,Jenis Tanah,Kelas Bahaya Banjir,Desa/Kelurahan,Luas Km²
486,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.033883
487,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.014338
488,Semak Belukar,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Caturtunggal,0.000287
489,Semak Belukar,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.010668
490,Semak Belukar,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.000652
491,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Caturtunggal,0.189106
492,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.180366
493,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.151522
494,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,>200m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.000814
495,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,>200m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.004081
496,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,>200m,15 - 25 %,Regosol,Sedang,Condongcatur,0.001776
497,Perkebunan/Kebun,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,50 - 100 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.000101
498,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,50 - 100 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.000134
499,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m, 25 - 45 %,Regosol,Rendah,Caturtunggal,0.000001
500,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m, 25 - 45 %,Regosol,Rendah,Maguwoharjo,0.00008
501,Perkebunan/Kebun,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m, 25 - 45 %,Regosol,Rendah,Maguwoharjo,0.000001
502,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Caturtunggal,0.000632
503,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.000309
504,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.000133
505,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.000168
506,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.000414
507,Perkebunan/Kebun,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.007515
508,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Caturtunggal,0.00003
509,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.00405
510,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.000131
511,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m, 25 - 45 %,Regosol,Tinggi,Caturtunggal,0.002125
512,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m, 25 - 45 %,Regosol,Tinggi,Maguwoharjo,0.001021
513,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m, 25 - 45 %,Regosol,Tinggi,Condongcatur,0.001023
514,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.000959
515,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.001672
516,Perkebunan/Kebun,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.004904
517,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Caturtunggal,0.000437
518,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.002911
519,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.001321
520,Semak Belukar,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.00239
521,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Caturtunggal,0.008846
522,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.002293
523,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.005294
524,Danau/Waduk/Embung,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Rendah,Caturtunggal,0.001114
525,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Caturtunggal,0.002042
526,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.000185
527,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.00597
528,Perkebunan/Kebun,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Caturtunggal,0.0004
529,Perkebunan/Kebun,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.006191
530,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Caturtunggal,0.001888
531,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.013089
532,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.001489
533,Semak Belukar,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Rendah,Caturtunggal,0.000006
534,Semak Belukar,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Rendah,Maguwoharjo,0.002034
535,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Caturtunggal,0.066969
536,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Maguwoharjo,0.049642
537,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.026621
538,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,>200m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.000118
539,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,>200m, 25 - 45 %,Regosol,Tinggi,Condongcatur,0.000598
540,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,>200m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.000049
541,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,>200m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.001508
542,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,>200m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.000262
543,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",>250m,100 - 200 m,>45%,Regosol,Sedang,Caturtunggal,0.000002
544,Perkebunan/Kebun,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,>45%,Regosol,Sedang,Maguwoharjo,0.000784
545,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,>45%,Regosol,Sedang,Maguwoharjo,0.000041
546,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",0 - 25 m,100 - 200 m,>45%,Regosol,Sedang,Caturtunggal,0.00002
547,Perkebunan/Kebun,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,>45%,Regosol,Sedang,Maguwoharjo,0.000252
548,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",25 - 100 m,100 - 200 m,>45%,Regosol,Sedang,Caturtunggal,0
549,Tegalan/Ladang,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,>45%,Regosol,Rendah,Condongcatur,0.000316
550,Perkebunan/Kebun,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,>45%,Regosol,Rendah,Maguwoharjo,0.003115
551,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,>45%,Regosol,Sedang,Maguwoharjo,0.000582
552,Sawah,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,>45%,Regosol,Sedang,Condongcatur,0.000009
553,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,>45%,Regosol,Sedang,Caturtunggal,0.004545
554,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,>45%,Regosol,Sedang,Maguwoharjo,0.003637
555,Permukiman,2000 - 2500 mm/tahun,"0,62 - 1,44 km/km²",100 - 250 m,100 - 200 m,>45%,Regosol,Sedang,Condongcatur,0.00134
556,Perkebunan/Kebun,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,50 - 100 m,0 - 8 %,Regosol,Tinggi,Maguwoharjo,0.000047
557,Perkebunan/Kebun,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,50 - 100 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.000021
558,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Sedang,Caturtunggal,0.000028
559,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.000041
560,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",>250m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.000018
561,Tegalan/Ladang,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.002881
562,Perkebunan/Kebun,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.004196
563,Perkebunan/Kebun,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.00008
564,Sawah,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Caturtunggal,0.0005
565,Sawah,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Maguwoharjo,0.002188
566,Sawah,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.002048
567,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Caturtunggal,0.007873
568,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Maguwoharjo,0.006946
569,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.008727
570,Tegalan/Ladang,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Caturtunggal,0.000643
571,Tegalan/Ladang,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.010736
572,Tegalan/Ladang,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.000058
573,Perkebunan/Kebun,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.005911
574,Sawah,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Caturtunggal,0.002955
575,Sawah,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Maguwoharjo,0.006976
576,Sawah,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.007999
577,Semak Belukar,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.001095
578,Semak Belukar,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.000105
579,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Caturtunggal,0.045137
580,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Maguwoharjo,0.041135
581,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.043897
582,Danau/Waduk/Embung,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Rendah,Maguwoharjo,0.000275
583,Tegalan/Ladang,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Caturtunggal,0.016755
584,Tegalan/Ladang,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.022254
585,Perkebunan/Kebun,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Caturtunggal,0.000447
586,Perkebunan/Kebun,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.015997
587,Sawah,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Caturtunggal,0.001858
588,Sawah,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.069703
589,Sawah,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.012337
590,Semak Belukar,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Caturtunggal,0.000282
591,Semak Belukar,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Maguwoharjo,0.004931
592,Semak Belukar,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.004847
593,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Caturtunggal,0.215214
594,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Maguwoharjo,0.288712
595,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.265153
596,Perkebunan/Kebun,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,50 - 100 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.000499
597,Perkebunan/Kebun,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,50 - 100 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.000227
598,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,0.000018
599,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.000063
600,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",>250m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.000042
601,Tegalan/Ladang,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.00222
602,Perkebunan/Kebun,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.007133
603,Perkebunan/Kebun,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.000055
604,Sawah,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Caturtunggal,0.00113
605,Sawah,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Maguwoharjo,0.004811
606,Sawah,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.001562
607,Semak Belukar,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.000176
608,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Caturtunggal,0.014398
609,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Maguwoharjo,0.005997
610,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.008299
611,Danau/Waduk/Embung,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Rendah,Maguwoharjo,0.000198
612,Tegalan/Ladang,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,0.000986
613,Tegalan/Ladang,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.011496
614,Tegalan/Ladang,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.000454
615,Perkebunan/Kebun,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.015525
616,Sawah,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,0.005064
617,Sawah,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.011754
618,Sawah,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.005206
619,Semak Belukar,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.004063
620,Semak Belukar,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.000371
621,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Caturtunggal,0.0772
622,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Maguwoharjo,0.054753
623,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.058839
624,Danau/Waduk/Embung,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Rendah,Maguwoharjo,0.000466
625,Tegalan/Ladang,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,0.009471
626,Tegalan/Ladang,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.009348
627,Tegalan/Ladang,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.00007
628,Perkebunan/Kebun,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,0.00131
629,Perkebunan/Kebun,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.01827
630,Perkebunan/Kebun,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.000185
631,Sawah,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,0.003661
632,Sawah,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.098562
633,Sawah,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.016305
634,Semak Belukar,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,0.002221
635,Semak Belukar,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.007652
636,Semak Belukar,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.00517
637,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Caturtunggal,0.300461
638,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Maguwoharjo,0.348598
639,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.333222
640,Perkebunan/Kebun,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",0 - 25 m,50 - 100 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.001079
641,Perkebunan/Kebun,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",25 - 100 m,50 - 100 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.000365
642,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Sedang,Maguwoharjo,0.000006
643,Permukiman,2000 - 2500 mm/tahun,"1,44 - 2,27 km/km²",>250m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0
