No,Tutupan Lahan,Curah Hujan,Kerapatan Sungai,Jarak dari Sungai,Ketinggian Lahan,Kemiringan Lereng,Jenis Tanah,Kelas Bahaya Banjir,Desa/Kelurahan,Luas Km²
104,Permukiman,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.000514
105,Tegalan/Ladang,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.000203
106,Perkebunan/Kebun,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.000816
107,Sawah,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.000213
108,Permukiman,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.007374
109,Tegalan/Ladang,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.0001
110,Sawah,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.000083
111,Permukiman,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.004775
112,Tegalan/Ladang,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",0 - 25 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.001222
113,Permukiman,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",0 - 25 m,100 - 200 m, 25 - 45 %,Regosol,Tinggi,Condongcatur,0.000059
114,Tegalan/Ladang,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.000016
115,Permukiman,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",25 - 100 m,100 - 200 m, 25 - 45 %,Regosol,Tinggi,Condongcatur,0.001647
116,Permukiman,2500 - 3000 mm/tahun,"2,27 - 3,10 km/km²",100 - 250 m,100 - 200 m, 25 - 45 %,Regosol,Sedang,Condongcatur,0.001611
117,Tegalan/Ladang,2500 - 3000 mm/tahun,">3,10 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.001533
118,Perkebunan/Kebun,2500 - 3000 mm/tahun,">3,10 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.003122
119,Permukiman,2500 - 3000 mm/tahun,">3,10 km/km²",0 - 25 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.005545
120,Tegalan/Ladang,2500 - 3000 mm/tahun,">3,10 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.008966
121,Perkebunan/Kebun,2500 - 3000 mm/tahun,">3,10 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.003226
122,Permukiman,2500 - 3000 mm/tahun,">3,10 km/km²",25 - 100 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.008286
123,Tegalan/Ladang,2500 - 3000 mm/tahun,">3,10 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Sedang,Condongcatur,0.004851
124,Permukiman,2500 - 3000 mm/tahun,">3,10 km/km²",100 - 250 m,100 - 200 m,0 - 8 %,Regosol,Tinggi,Condongcatur,0.003573
125,Tegalan/Ladang,2500 - 3000 mm/tahun,">3,10 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.001886
126,Perkebunan/Kebun,2500 - 3000 mm/tahun,">3,10 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.003081
127,Permukiman,2500 - 3000 mm/tahun,">3,10 km/km²",0 - 25 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.003138
128,Tegalan/Ladang,2500 - 3000 mm/tahun,">3,10 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.007224
129,Perkebunan/Kebun,2500 - 3000 mm/tahun,">3,10 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.002861
130,Permukiman,2500 - 3000 mm/tahun,">3,10 km/km²",25 - 100 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.009437
131,Tegalan/Ladang,2500 - 3000 mm/tahun,">3,10 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.004612
132,Perkebunan/Kebun,2500 - 3000 mm/tahun,">3,10 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Sedang,Condongcatur,0.000013
133,Permukiman,2500 - 3000 mm/tahun,">3,10 km/km²",100 - 250 m,100 - 200 m,8 - 15 %,Regosol,Tinggi,Condongcatur,0.001471
134,Tegalan/Ladang,2500 - 3000 mm/tahun,">3,10 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.000574
135,Perkebunan/Kebun,2500 - 3000 mm/tahun,">3,10 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.002286
136,Permukiman,2500 - 3000 mm/tahun,">3,10 km/km²",0 - 25 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.000673
137,Tegalan/Ladang,2500 - 3000 mm/tahun,">3,10 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.00506
138,Perkebunan/Kebun,2500 - 3000 mm/tahun,">3,10 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.001666
139,Permukiman,2500 - 3000 mm/tahun,">3,10 km/km²",25 - 100 m,100 - 200 m,15 - 25 %,Regosol,Tinggi,Condongcatur,0.006651
140,Tegalan/Ladang,2500 - 3000 mm/tahun,">3,10 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.000321
141,Permukiman,2500 - 3000 mm/tahun,">3,10 km/km²",100 - 250 m,100 - 200 m,15 - 25 %,Regosol,Sedang,Condongcatur,0.001823
